posting_id,job_title,region,seniority_level,required_skills_text,ground_truth_skills
JOB-0004,Data Engineer,Europe,Mid-Level,"Seeking Mid-Level Data Engineer proficient in SQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines, Python, NoSQL.","SQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines, Python, NoSQL"
JOB-0007,Cloud Solution Architect,Europe,Senior,"Seeking Senior Cloud Solution Architect proficient in Linux, Git/CI-CD, Docker/Kubernetes, Go, Cloud (AWS/GCP/Azure), Python.","Linux, Git/CI-CD, Docker/Kubernetes, Go, Cloud (AWS/GCP/Azure), Python"
JOB-0009,Data Scientist,Europe,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Tableau/PowerBI, SQL, R, Python, Data Modeling.","Tableau/PowerBI, SQL, R, Python, Data Modeling"
JOB-0012,Data Engineer,Europe,Senior,"Seeking Senior Data Engineer proficient in Python, NoSQL, Docker/Kubernetes, PySpark/Spark, Cloud (AWS/GCP/Azure), ETL Pipelines.","Python, NoSQL, Docker/Kubernetes, PySpark/Spark, Cloud (AWS/GCP/Azure), ETL Pipelines"
JOB-0017,AI Research Scientist,Europe,Junior,"Seeking Junior AI Research Scientist proficient in Python, Deep Learning, LLMs/NLP, PyTorch.","Python, Deep Learning, LLMs/NLP, PyTorch"
JOB-0024,Data Engineer,Europe,Junior,"Seeking Junior Data Engineer proficient in SQL, Python, Cloud (AWS/GCP/Azure), ETL Pipelines, NoSQL, Docker/Kubernetes, PySpark/Spark.","SQL, Python, Cloud (AWS/GCP/Azure), ETL Pipelines, NoSQL, Docker/Kubernetes, PySpark/Spark"
JOB-0027,Data Engineer,Europe,Senior,"Seeking Senior Data Engineer proficient in Docker/Kubernetes, PySpark/Spark, ETL Pipelines, Cloud (AWS/GCP/Azure), SQL, Python.","Docker/Kubernetes, PySpark/Spark, ETL Pipelines, Cloud (AWS/GCP/Azure), SQL, Python"
JOB-0028,Machine Learning Engineer,Europe,Junior,"Seeking Junior Machine Learning Engineer proficient in Python, Git/CI-CD, Cloud (AWS/GCP/Azure), Docker/Kubernetes.","Python, Git/CI-CD, Cloud (AWS/GCP/Azure), Docker/Kubernetes"
JOB-0032,Cloud Solution Architect,Europe,Lead,"Seeking Lead Cloud Solution Architect proficient in Linux, Docker/Kubernetes, Go, Python, Git/CI-CD.","Linux, Docker/Kubernetes, Go, Python, Git/CI-CD"
JOB-0033,BI Developer,Europe,Mid-Level,"Seeking Mid-Level BI Developer proficient in Data Modeling, Tableau/PowerBI, Python, ETL Pipelines, SQL, Excel.","Data Modeling, Tableau/PowerBI, Python, ETL Pipelines, SQL, Excel"
JOB-0034,Machine Learning Engineer,Europe,Lead,"Seeking Lead Machine Learning Engineer proficient in Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps.","Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps"
JOB-0035,Cloud Solution Architect,Europe,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Cloud (AWS/GCP/Azure), Go, Docker/Kubernetes, Git/CI-CD, Linux, Python.","Cloud (AWS/GCP/Azure), Go, Docker/Kubernetes, Git/CI-CD, Linux, Python"
