posting_id,job_title,region,seniority_level,required_skills_text,ground_truth_skills
JOB-0003,Data Scientist,North America,Junior,"Seeking Junior Data Scientist proficient in Machine Learning, SQL, Python, Data Modeling.","Machine Learning, SQL, Python, Data Modeling"
JOB-0005,Machine Learning Engineer,North America,Senior,"Seeking Senior Machine Learning Engineer proficient in Docker/Kubernetes, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), PyTorch, Python.","Docker/Kubernetes, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), PyTorch, Python"
JOB-0008,Cloud Solution Architect,North America,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Linux, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Go.","Linux, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Go"
JOB-0010,AI Research Scientist,North America,Mid-Level,"Seeking Mid-Level AI Research Scientist proficient in Mathematics, TensorFlow, LLMs/NLP, Python, PyTorch, Deep Learning.","Mathematics, TensorFlow, LLMs/NLP, Python, PyTorch, Deep Learning"
JOB-0014,BI Developer,North America,Senior,"Seeking Senior BI Developer proficient in Tableau/PowerBI, ETL Pipelines, Excel, SQL, Python.","Tableau/PowerBI, ETL Pipelines, Excel, SQL, Python"
JOB-0016,Data Scientist,North America,Junior,"Seeking Junior Data Scientist proficient in SQL, Tableau/PowerBI, R, Machine Learning, Scikit-Learn, Python.","SQL, Tableau/PowerBI, R, Machine Learning, Scikit-Learn, Python"
JOB-0018,AI Research Scientist,North America,Junior,"Seeking Junior AI Research Scientist proficient in Python, TensorFlow, PyTorch, Deep Learning, Mathematics.","Python, TensorFlow, PyTorch, Deep Learning, Mathematics"
JOB-0019,Data Engineer,North America,Senior,"Seeking Senior Data Engineer proficient in PySpark/Spark, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, SQL.","PySpark/Spark, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, SQL"
JOB-0020,BI Developer,North America,Junior,"Seeking Junior BI Developer proficient in Excel, ETL Pipelines, Tableau/PowerBI, SQL.","Excel, ETL Pipelines, Tableau/PowerBI, SQL"
JOB-0021,Machine Learning Engineer,North America,Lead,"Seeking Lead Machine Learning Engineer proficient in Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps.","Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps"
JOB-0022,Machine Learning Engineer,North America,Lead,"Seeking Lead Machine Learning Engineer proficient in Deep Learning, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes.","Deep Learning, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes"
JOB-0023,Machine Learning Engineer,North America,Mid-Level,"Seeking Mid-Level Machine Learning Engineer proficient in PyTorch, Docker/Kubernetes, Python, MLOps, Git/CI-CD.","PyTorch, Docker/Kubernetes, Python, MLOps, Git/CI-CD"
JOB-0025,Data Engineer,North America,Mid-Level,"Seeking Mid-Level Data Engineer proficient in ETL Pipelines, SQL, Docker/Kubernetes, Python, PySpark/Spark, NoSQL, Cloud (AWS/GCP/Azure).","ETL Pipelines, SQL, Docker/Kubernetes, Python, PySpark/Spark, NoSQL, Cloud (AWS/GCP/Azure)"
JOB-0026,Machine Learning Engineer,North America,Senior,"Seeking Senior Machine Learning Engineer proficient in Python, PyTorch, Deep Learning, MLOps, Cloud (AWS/GCP/Azure).","Python, PyTorch, Deep Learning, MLOps, Cloud (AWS/GCP/Azure)"
JOB-0036,Data Engineer,North America,Junior,"Seeking Junior Data Engineer proficient in ETL Pipelines, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Python.","ETL Pipelines, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Python"
JOB-0041,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Scikit-Learn, Data Modeling, SQL, Tableau/PowerBI, Machine Learning.","Scikit-Learn, Data Modeling, SQL, Tableau/PowerBI, Machine Learning"
JOB-0042,AI Research Scientist,North America,Mid-Level,"Seeking Mid-Level AI Research Scientist proficient in TensorFlow, Mathematics, Deep Learning, LLMs/NLP, Python, PyTorch.","TensorFlow, Mathematics, Deep Learning, LLMs/NLP, Python, PyTorch"
JOB-0043,Data Scientist,North America,Lead,"Seeking Lead Data Scientist proficient in R, Machine Learning, Tableau/PowerBI, SQL.","R, Machine Learning, Tableau/PowerBI, SQL"
JOB-0045,BI Developer,North America,Mid-Level,"Seeking Mid-Level BI Developer proficient in Excel, Data Modeling, Tableau/PowerBI, ETL Pipelines, SQL.","Excel, Data Modeling, Tableau/PowerBI, ETL Pipelines, SQL"
JOB-0049,AI Research Scientist,North America,Mid-Level,"Seeking Mid-Level AI Research Scientist proficient in TensorFlow, PyTorch, Deep Learning, Mathematics, LLMs/NLP, Python.","TensorFlow, PyTorch, Deep Learning, Mathematics, LLMs/NLP, Python"
JOB-0050,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in R, SQL, Tableau/PowerBI, Scikit-Learn, Python, Data Modeling, Machine Learning.","R, SQL, Tableau/PowerBI, Scikit-Learn, Python, Data Modeling, Machine Learning"
JOB-0052,Data Scientist,North America,Junior,"Seeking Junior Data Scientist proficient in R, Machine Learning, SQL, Data Modeling, Scikit-Learn.","R, Machine Learning, SQL, Data Modeling, Scikit-Learn"
JOB-0054,Cloud Solution Architect,North America,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Git/CI-CD, Go, Cloud (AWS/GCP/Azure), Linux.","Git/CI-CD, Go, Cloud (AWS/GCP/Azure), Linux"
JOB-0055,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Machine Learning, Data Modeling, Tableau/PowerBI, Scikit-Learn, Python.","Machine Learning, Data Modeling, Tableau/PowerBI, Scikit-Learn, Python"
JOB-0057,Cloud Solution Architect,North America,Lead,"Seeking Lead Cloud Solution Architect proficient in Docker/Kubernetes, Python, Go, Git/CI-CD.","Docker/Kubernetes, Python, Go, Git/CI-CD"
JOB-0058,Cloud Solution Architect,North America,Junior,"Seeking Junior Cloud Solution Architect proficient in Python, Docker/Kubernetes, Linux, Cloud (AWS/GCP/Azure), Go.","Python, Docker/Kubernetes, Linux, Cloud (AWS/GCP/Azure), Go"
JOB-0059,BI Developer,North America,Senior,"Seeking Senior BI Developer proficient in Python, ETL Pipelines, Excel, Tableau/PowerBI, SQL.","Python, ETL Pipelines, Excel, Tableau/PowerBI, SQL"
JOB-0060,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in SQL, Machine Learning, Tableau/PowerBI, Data Modeling, R, Scikit-Learn.","SQL, Machine Learning, Tableau/PowerBI, Data Modeling, R, Scikit-Learn"
JOB-0065,Cloud Solution Architect,North America,Junior,"Seeking Junior Cloud Solution Architect proficient in Python, Linux, Docker/Kubernetes, Git/CI-CD, Cloud (AWS/GCP/Azure), Go.","Python, Linux, Docker/Kubernetes, Git/CI-CD, Cloud (AWS/GCP/Azure), Go"
JOB-0067,Data Engineer,North America,Junior,"Seeking Junior Data Engineer proficient in ETL Pipelines, Python, NoSQL, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure).","ETL Pipelines, Python, NoSQL, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure)"
JOB-0073,Data Engineer,North America,Mid-Level,"Seeking Mid-Level Data Engineer proficient in Python, ETL Pipelines, SQL, Cloud (AWS/GCP/Azure), NoSQL, PySpark/Spark, Docker/Kubernetes.","Python, ETL Pipelines, SQL, Cloud (AWS/GCP/Azure), NoSQL, PySpark/Spark, Docker/Kubernetes"
JOB-0075,Machine Learning Engineer,North America,Mid-Level,"Seeking Mid-Level Machine Learning Engineer proficient in PyTorch, MLOps, Docker/Kubernetes, Python, Deep Learning.","PyTorch, MLOps, Docker/Kubernetes, Python, Deep Learning"
JOB-0077,Machine Learning Engineer,North America,Senior,"Seeking Senior Machine Learning Engineer proficient in PyTorch, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Git/CI-CD.","PyTorch, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Git/CI-CD"
JOB-0078,Data Engineer,North America,Lead,"Seeking Lead Data Engineer proficient in Cloud (AWS/GCP/Azure), ETL Pipelines, PySpark/Spark, SQL, Python, NoSQL, Docker/Kubernetes.","Cloud (AWS/GCP/Azure), ETL Pipelines, PySpark/Spark, SQL, Python, NoSQL, Docker/Kubernetes"
JOB-0081,BI Developer,North America,Mid-Level,"Seeking Mid-Level BI Developer proficient in ETL Pipelines, Tableau/PowerBI, SQL, Python, Excel.","ETL Pipelines, Tableau/PowerBI, SQL, Python, Excel"
JOB-0083,Machine Learning Engineer,North America,Mid-Level,"Seeking Mid-Level Machine Learning Engineer proficient in PyTorch, Cloud (AWS/GCP/Azure), MLOps, Git/CI-CD, Docker/Kubernetes, Deep Learning.","PyTorch, Cloud (AWS/GCP/Azure), MLOps, Git/CI-CD, Docker/Kubernetes, Deep Learning"
