posting_id,job_title,region,seniority_level,required_skills_text,ground_truth_skills
JOB-0001,Cloud Solution Architect,Asia-Pacific,Senior,"Seeking Senior Cloud Solution Architect proficient in Python, Cloud (AWS/GCP/Azure), Go, Git/CI-CD.","Python, Cloud (AWS/GCP/Azure), Go, Git/CI-CD"
JOB-0002,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in SQL, Python, NoSQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines.","SQL, Python, NoSQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines"
JOB-0003,Data Scientist,North America,Junior,"Seeking Junior Data Scientist proficient in Machine Learning, SQL, Python, Data Modeling.","Machine Learning, SQL, Python, Data Modeling"
JOB-0004,Data Engineer,Europe,Mid-Level,"Seeking Mid-Level Data Engineer proficient in SQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines, Python, NoSQL.","SQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines, Python, NoSQL"
JOB-0005,Machine Learning Engineer,North America,Senior,"Seeking Senior Machine Learning Engineer proficient in Docker/Kubernetes, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), PyTorch, Python.","Docker/Kubernetes, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), PyTorch, Python"
JOB-0006,BI Developer,Asia-Pacific,Junior,"Seeking Junior BI Developer proficient in SQL, Python, Data Modeling, ETL Pipelines, Tableau/PowerBI.","SQL, Python, Data Modeling, ETL Pipelines, Tableau/PowerBI"
JOB-0007,Cloud Solution Architect,Europe,Senior,"Seeking Senior Cloud Solution Architect proficient in Linux, Git/CI-CD, Docker/Kubernetes, Go, Cloud (AWS/GCP/Azure), Python.","Linux, Git/CI-CD, Docker/Kubernetes, Go, Cloud (AWS/GCP/Azure), Python"
JOB-0008,Cloud Solution Architect,North America,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Linux, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Go.","Linux, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Go"
JOB-0009,Data Scientist,Europe,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Tableau/PowerBI, SQL, R, Python, Data Modeling.","Tableau/PowerBI, SQL, R, Python, Data Modeling"
JOB-0010,AI Research Scientist,North America,Mid-Level,"Seeking Mid-Level AI Research Scientist proficient in Mathematics, TensorFlow, LLMs/NLP, Python, PyTorch, Deep Learning.","Mathematics, TensorFlow, LLMs/NLP, Python, PyTorch, Deep Learning"
JOB-0011,AI Research Scientist,Asia-Pacific,Junior,"Seeking Junior AI Research Scientist proficient in PyTorch, Deep Learning, TensorFlow, LLMs/NLP.","PyTorch, Deep Learning, TensorFlow, LLMs/NLP"
JOB-0012,Data Engineer,Europe,Senior,"Seeking Senior Data Engineer proficient in Python, NoSQL, Docker/Kubernetes, PySpark/Spark, Cloud (AWS/GCP/Azure), ETL Pipelines.","Python, NoSQL, Docker/Kubernetes, PySpark/Spark, Cloud (AWS/GCP/Azure), ETL Pipelines"
JOB-0013,Machine Learning Engineer,Asia-Pacific,Junior,"Seeking Junior Machine Learning Engineer proficient in Deep Learning, Git/CI-CD, Docker/Kubernetes, MLOps, Python, PyTorch, Cloud (AWS/GCP/Azure).","Deep Learning, Git/CI-CD, Docker/Kubernetes, MLOps, Python, PyTorch, Cloud (AWS/GCP/Azure)"
JOB-0014,BI Developer,North America,Senior,"Seeking Senior BI Developer proficient in Tableau/PowerBI, ETL Pipelines, Excel, SQL, Python.","Tableau/PowerBI, ETL Pipelines, Excel, SQL, Python"
JOB-0015,BI Developer,Asia-Pacific,Junior,"Seeking Junior BI Developer proficient in Tableau/PowerBI, ETL Pipelines, Excel, SQL, Data Modeling.","Tableau/PowerBI, ETL Pipelines, Excel, SQL, Data Modeling"
JOB-0016,Data Scientist,North America,Junior,"Seeking Junior Data Scientist proficient in SQL, Tableau/PowerBI, R, Machine Learning, Scikit-Learn, Python.","SQL, Tableau/PowerBI, R, Machine Learning, Scikit-Learn, Python"
JOB-0017,AI Research Scientist,Europe,Junior,"Seeking Junior AI Research Scientist proficient in Python, Deep Learning, LLMs/NLP, PyTorch.","Python, Deep Learning, LLMs/NLP, PyTorch"
JOB-0018,AI Research Scientist,North America,Junior,"Seeking Junior AI Research Scientist proficient in Python, TensorFlow, PyTorch, Deep Learning, Mathematics.","Python, TensorFlow, PyTorch, Deep Learning, Mathematics"
JOB-0019,Data Engineer,North America,Senior,"Seeking Senior Data Engineer proficient in PySpark/Spark, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, SQL.","PySpark/Spark, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, SQL"
JOB-0020,BI Developer,North America,Junior,"Seeking Junior BI Developer proficient in Excel, ETL Pipelines, Tableau/PowerBI, SQL.","Excel, ETL Pipelines, Tableau/PowerBI, SQL"
JOB-0021,Machine Learning Engineer,North America,Lead,"Seeking Lead Machine Learning Engineer proficient in Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps.","Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps"
JOB-0022,Machine Learning Engineer,North America,Lead,"Seeking Lead Machine Learning Engineer proficient in Deep Learning, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes.","Deep Learning, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes"
JOB-0023,Machine Learning Engineer,North America,Mid-Level,"Seeking Mid-Level Machine Learning Engineer proficient in PyTorch, Docker/Kubernetes, Python, MLOps, Git/CI-CD.","PyTorch, Docker/Kubernetes, Python, MLOps, Git/CI-CD"
JOB-0024,Data Engineer,Europe,Junior,"Seeking Junior Data Engineer proficient in SQL, Python, Cloud (AWS/GCP/Azure), ETL Pipelines, NoSQL, Docker/Kubernetes, PySpark/Spark.","SQL, Python, Cloud (AWS/GCP/Azure), ETL Pipelines, NoSQL, Docker/Kubernetes, PySpark/Spark"
JOB-0025,Data Engineer,North America,Mid-Level,"Seeking Mid-Level Data Engineer proficient in ETL Pipelines, SQL, Docker/Kubernetes, Python, PySpark/Spark, NoSQL, Cloud (AWS/GCP/Azure).","ETL Pipelines, SQL, Docker/Kubernetes, Python, PySpark/Spark, NoSQL, Cloud (AWS/GCP/Azure)"
JOB-0026,Machine Learning Engineer,North America,Senior,"Seeking Senior Machine Learning Engineer proficient in Python, PyTorch, Deep Learning, MLOps, Cloud (AWS/GCP/Azure).","Python, PyTorch, Deep Learning, MLOps, Cloud (AWS/GCP/Azure)"
JOB-0027,Data Engineer,Europe,Senior,"Seeking Senior Data Engineer proficient in Docker/Kubernetes, PySpark/Spark, ETL Pipelines, Cloud (AWS/GCP/Azure), SQL, Python.","Docker/Kubernetes, PySpark/Spark, ETL Pipelines, Cloud (AWS/GCP/Azure), SQL, Python"
JOB-0028,Machine Learning Engineer,Europe,Junior,"Seeking Junior Machine Learning Engineer proficient in Python, Git/CI-CD, Cloud (AWS/GCP/Azure), Docker/Kubernetes.","Python, Git/CI-CD, Cloud (AWS/GCP/Azure), Docker/Kubernetes"
JOB-0029,Data Scientist,Asia-Pacific,Lead,"Seeking Lead Data Scientist proficient in Tableau/PowerBI, SQL, Machine Learning, Scikit-Learn, Data Modeling, R, Python.","Tableau/PowerBI, SQL, Machine Learning, Scikit-Learn, Data Modeling, R, Python"
JOB-0030,AI Research Scientist,Asia-Pacific,Senior,"Seeking Senior AI Research Scientist proficient in Deep Learning, PyTorch, LLMs/NLP, TensorFlow, Mathematics, Python.","Deep Learning, PyTorch, LLMs/NLP, TensorFlow, Mathematics, Python"
JOB-0031,Data Engineer,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Engineer proficient in Docker/Kubernetes, Cloud (AWS/GCP/Azure), PySpark/Spark, Python, ETL Pipelines, NoSQL, SQL.","Docker/Kubernetes, Cloud (AWS/GCP/Azure), PySpark/Spark, Python, ETL Pipelines, NoSQL, SQL"
JOB-0032,Cloud Solution Architect,Europe,Lead,"Seeking Lead Cloud Solution Architect proficient in Linux, Docker/Kubernetes, Go, Python, Git/CI-CD.","Linux, Docker/Kubernetes, Go, Python, Git/CI-CD"
JOB-0033,BI Developer,Europe,Mid-Level,"Seeking Mid-Level BI Developer proficient in Data Modeling, Tableau/PowerBI, Python, ETL Pipelines, SQL, Excel.","Data Modeling, Tableau/PowerBI, Python, ETL Pipelines, SQL, Excel"
JOB-0034,Machine Learning Engineer,Europe,Lead,"Seeking Lead Machine Learning Engineer proficient in Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps.","Deep Learning, PyTorch, Git/CI-CD, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, MLOps"
JOB-0035,Cloud Solution Architect,Europe,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Cloud (AWS/GCP/Azure), Go, Docker/Kubernetes, Git/CI-CD, Linux, Python.","Cloud (AWS/GCP/Azure), Go, Docker/Kubernetes, Git/CI-CD, Linux, Python"
JOB-0036,Data Engineer,North America,Junior,"Seeking Junior Data Engineer proficient in ETL Pipelines, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Python.","ETL Pipelines, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Python"
JOB-0037,Data Engineer,Europe,Lead,"Seeking Lead Data Engineer proficient in ETL Pipelines, Cloud (AWS/GCP/Azure), Python, PySpark/Spark.","ETL Pipelines, Cloud (AWS/GCP/Azure), Python, PySpark/Spark"
JOB-0038,AI Research Scientist,Asia-Pacific,Lead,"Seeking Lead AI Research Scientist proficient in TensorFlow, LLMs/NLP, PyTorch, Python.","TensorFlow, LLMs/NLP, PyTorch, Python"
JOB-0039,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in Docker/Kubernetes, PySpark/Spark, ETL Pipelines, NoSQL, SQL, Python.","Docker/Kubernetes, PySpark/Spark, ETL Pipelines, NoSQL, SQL, Python"
JOB-0040,Data Scientist,Europe,Senior,"Seeking Senior Data Scientist proficient in Python, Tableau/PowerBI, Machine Learning, Scikit-Learn, Data Modeling.","Python, Tableau/PowerBI, Machine Learning, Scikit-Learn, Data Modeling"
JOB-0041,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Scikit-Learn, Data Modeling, SQL, Tableau/PowerBI, Machine Learning.","Scikit-Learn, Data Modeling, SQL, Tableau/PowerBI, Machine Learning"
JOB-0042,AI Research Scientist,North America,Mid-Level,"Seeking Mid-Level AI Research Scientist proficient in TensorFlow, Mathematics, Deep Learning, LLMs/NLP, Python, PyTorch.","TensorFlow, Mathematics, Deep Learning, LLMs/NLP, Python, PyTorch"
JOB-0043,Data Scientist,North America,Lead,"Seeking Lead Data Scientist proficient in R, Machine Learning, Tableau/PowerBI, SQL.","R, Machine Learning, Tableau/PowerBI, SQL"
JOB-0044,Cloud Solution Architect,Europe,Lead,"Seeking Lead Cloud Solution Architect proficient in Linux, Go, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Git/CI-CD, Python.","Linux, Go, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Git/CI-CD, Python"
JOB-0045,BI Developer,North America,Mid-Level,"Seeking Mid-Level BI Developer proficient in Excel, Data Modeling, Tableau/PowerBI, ETL Pipelines, SQL.","Excel, Data Modeling, Tableau/PowerBI, ETL Pipelines, SQL"
JOB-0046,BI Developer,Europe,Junior,"Seeking Junior BI Developer proficient in Tableau/PowerBI, Data Modeling, SQL, Python.","Tableau/PowerBI, Data Modeling, SQL, Python"
JOB-0047,Cloud Solution Architect,Asia-Pacific,Lead,"Seeking Lead Cloud Solution Architect proficient in Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Linux, Go.","Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Linux, Go"
JOB-0048,Cloud Solution Architect,Europe,Senior,"Seeking Senior Cloud Solution Architect proficient in Cloud (AWS/GCP/Azure), Linux, Python, Docker/Kubernetes.","Cloud (AWS/GCP/Azure), Linux, Python, Docker/Kubernetes"
JOB-0049,AI Research Scientist,North America,Mid-Level,"Seeking Mid-Level AI Research Scientist proficient in TensorFlow, PyTorch, Deep Learning, Mathematics, LLMs/NLP, Python.","TensorFlow, PyTorch, Deep Learning, Mathematics, LLMs/NLP, Python"
JOB-0050,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in R, SQL, Tableau/PowerBI, Scikit-Learn, Python, Data Modeling, Machine Learning.","R, SQL, Tableau/PowerBI, Scikit-Learn, Python, Data Modeling, Machine Learning"
JOB-0051,Machine Learning Engineer,Asia-Pacific,Senior,"Seeking Senior Machine Learning Engineer proficient in Python, PyTorch, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Deep Learning, Git/CI-CD, MLOps.","Python, PyTorch, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Deep Learning, Git/CI-CD, MLOps"
JOB-0052,Data Scientist,North America,Junior,"Seeking Junior Data Scientist proficient in R, Machine Learning, SQL, Data Modeling, Scikit-Learn.","R, Machine Learning, SQL, Data Modeling, Scikit-Learn"
JOB-0053,BI Developer,Asia-Pacific,Lead,"Seeking Lead BI Developer proficient in Python, Data Modeling, SQL, Excel.","Python, Data Modeling, SQL, Excel"
JOB-0054,Cloud Solution Architect,North America,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Git/CI-CD, Go, Cloud (AWS/GCP/Azure), Linux.","Git/CI-CD, Go, Cloud (AWS/GCP/Azure), Linux"
JOB-0055,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Machine Learning, Data Modeling, Tableau/PowerBI, Scikit-Learn, Python.","Machine Learning, Data Modeling, Tableau/PowerBI, Scikit-Learn, Python"
JOB-0056,Cloud Solution Architect,Europe,Lead,"Seeking Lead Cloud Solution Architect proficient in Linux, Python, Git/CI-CD, Go, Cloud (AWS/GCP/Azure), Docker/Kubernetes.","Linux, Python, Git/CI-CD, Go, Cloud (AWS/GCP/Azure), Docker/Kubernetes"
JOB-0057,Cloud Solution Architect,North America,Lead,"Seeking Lead Cloud Solution Architect proficient in Docker/Kubernetes, Python, Go, Git/CI-CD.","Docker/Kubernetes, Python, Go, Git/CI-CD"
JOB-0058,Cloud Solution Architect,North America,Junior,"Seeking Junior Cloud Solution Architect proficient in Python, Docker/Kubernetes, Linux, Cloud (AWS/GCP/Azure), Go.","Python, Docker/Kubernetes, Linux, Cloud (AWS/GCP/Azure), Go"
JOB-0059,BI Developer,North America,Senior,"Seeking Senior BI Developer proficient in Python, ETL Pipelines, Excel, Tableau/PowerBI, SQL.","Python, ETL Pipelines, Excel, Tableau/PowerBI, SQL"
JOB-0060,Data Scientist,North America,Mid-Level,"Seeking Mid-Level Data Scientist proficient in SQL, Machine Learning, Tableau/PowerBI, Data Modeling, R, Scikit-Learn.","SQL, Machine Learning, Tableau/PowerBI, Data Modeling, R, Scikit-Learn"
JOB-0061,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in ETL Pipelines, Docker/Kubernetes, PySpark/Spark, NoSQL.","ETL Pipelines, Docker/Kubernetes, PySpark/Spark, NoSQL"
JOB-0062,Machine Learning Engineer,Europe,Senior,"Seeking Senior Machine Learning Engineer proficient in Deep Learning, Git/CI-CD, MLOps, Python.","Deep Learning, Git/CI-CD, MLOps, Python"
JOB-0063,BI Developer,Europe,Lead,"Seeking Lead BI Developer proficient in ETL Pipelines, Tableau/PowerBI, Python, Data Modeling.","ETL Pipelines, Tableau/PowerBI, Python, Data Modeling"
JOB-0064,Machine Learning Engineer,Europe,Lead,"Seeking Lead Machine Learning Engineer proficient in PyTorch, MLOps, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Git/CI-CD, Deep Learning, Python.","PyTorch, MLOps, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Git/CI-CD, Deep Learning, Python"
JOB-0065,Cloud Solution Architect,North America,Junior,"Seeking Junior Cloud Solution Architect proficient in Python, Linux, Docker/Kubernetes, Git/CI-CD, Cloud (AWS/GCP/Azure), Go.","Python, Linux, Docker/Kubernetes, Git/CI-CD, Cloud (AWS/GCP/Azure), Go"
JOB-0066,Cloud Solution Architect,Europe,Senior,"Seeking Senior Cloud Solution Architect proficient in Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Go.","Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Go"
JOB-0067,Data Engineer,North America,Junior,"Seeking Junior Data Engineer proficient in ETL Pipelines, Python, NoSQL, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure).","ETL Pipelines, Python, NoSQL, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure)"
JOB-0068,BI Developer,Europe,Junior,"Seeking Junior BI Developer proficient in ETL Pipelines, SQL, Tableau/PowerBI, Python, Data Modeling, Excel.","ETL Pipelines, SQL, Tableau/PowerBI, Python, Data Modeling, Excel"
JOB-0069,Cloud Solution Architect,Europe,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Git/CI-CD, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Go.","Git/CI-CD, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Go"
JOB-0070,Data Scientist,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Scientist proficient in R, Machine Learning, Python, Scikit-Learn.","R, Machine Learning, Python, Scikit-Learn"
JOB-0071,BI Developer,Asia-Pacific,Senior,"Seeking Senior BI Developer proficient in Python, Data Modeling, Tableau/PowerBI, ETL Pipelines, Excel, SQL.","Python, Data Modeling, Tableau/PowerBI, ETL Pipelines, Excel, SQL"
JOB-0072,Data Engineer,Europe,Mid-Level,"Seeking Mid-Level Data Engineer proficient in SQL, Cloud (AWS/GCP/Azure), NoSQL, Python, Docker/Kubernetes, PySpark/Spark.","SQL, Cloud (AWS/GCP/Azure), NoSQL, Python, Docker/Kubernetes, PySpark/Spark"
JOB-0073,Data Engineer,North America,Mid-Level,"Seeking Mid-Level Data Engineer proficient in Python, ETL Pipelines, SQL, Cloud (AWS/GCP/Azure), NoSQL, PySpark/Spark, Docker/Kubernetes.","Python, ETL Pipelines, SQL, Cloud (AWS/GCP/Azure), NoSQL, PySpark/Spark, Docker/Kubernetes"
JOB-0074,Machine Learning Engineer,Europe,Senior,"Seeking Senior Machine Learning Engineer proficient in PyTorch, MLOps, Git/CI-CD, Docker/Kubernetes.","PyTorch, MLOps, Git/CI-CD, Docker/Kubernetes"
JOB-0075,Machine Learning Engineer,North America,Mid-Level,"Seeking Mid-Level Machine Learning Engineer proficient in PyTorch, MLOps, Docker/Kubernetes, Python, Deep Learning.","PyTorch, MLOps, Docker/Kubernetes, Python, Deep Learning"
JOB-0076,BI Developer,Asia-Pacific,Lead,"Seeking Lead BI Developer proficient in Python, Tableau/PowerBI, SQL, Excel.","Python, Tableau/PowerBI, SQL, Excel"
JOB-0077,Machine Learning Engineer,North America,Senior,"Seeking Senior Machine Learning Engineer proficient in PyTorch, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Git/CI-CD.","PyTorch, MLOps, Deep Learning, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Git/CI-CD"
JOB-0078,Data Engineer,North America,Lead,"Seeking Lead Data Engineer proficient in Cloud (AWS/GCP/Azure), ETL Pipelines, PySpark/Spark, SQL, Python, NoSQL, Docker/Kubernetes.","Cloud (AWS/GCP/Azure), ETL Pipelines, PySpark/Spark, SQL, Python, NoSQL, Docker/Kubernetes"
JOB-0079,Cloud Solution Architect,Europe,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Git/CI-CD, Docker/Kubernetes, Linux, Cloud (AWS/GCP/Azure), Python.","Git/CI-CD, Docker/Kubernetes, Linux, Cloud (AWS/GCP/Azure), Python"
JOB-0080,Data Engineer,Europe,Junior,"Seeking Junior Data Engineer proficient in PySpark/Spark, ETL Pipelines, Docker/Kubernetes, Python.","PySpark/Spark, ETL Pipelines, Docker/Kubernetes, Python"
JOB-0081,BI Developer,North America,Mid-Level,"Seeking Mid-Level BI Developer proficient in ETL Pipelines, Tableau/PowerBI, SQL, Python, Excel.","ETL Pipelines, Tableau/PowerBI, SQL, Python, Excel"
JOB-0082,Data Scientist,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Scientist proficient in SQL, Scikit-Learn, Machine Learning, R, Python, Data Modeling.","SQL, Scikit-Learn, Machine Learning, R, Python, Data Modeling"
JOB-0083,Machine Learning Engineer,North America,Mid-Level,"Seeking Mid-Level Machine Learning Engineer proficient in PyTorch, Cloud (AWS/GCP/Azure), MLOps, Git/CI-CD, Docker/Kubernetes, Deep Learning.","PyTorch, Cloud (AWS/GCP/Azure), MLOps, Git/CI-CD, Docker/Kubernetes, Deep Learning"
JOB-0084,Machine Learning Engineer,Europe,Senior,"Seeking Senior Machine Learning Engineer proficient in PyTorch, Docker/Kubernetes, Deep Learning, MLOps, Cloud (AWS/GCP/Azure), Git/CI-CD.","PyTorch, Docker/Kubernetes, Deep Learning, MLOps, Cloud (AWS/GCP/Azure), Git/CI-CD"
JOB-0085,AI Research Scientist,Asia-Pacific,Junior,"Seeking Junior AI Research Scientist proficient in LLMs/NLP, TensorFlow, PyTorch, Python, Mathematics, Deep Learning.","LLMs/NLP, TensorFlow, PyTorch, Python, Mathematics, Deep Learning"
JOB-0086,Data Engineer,North America,Mid-Level,"Seeking Mid-Level Data Engineer proficient in Cloud (AWS/GCP/Azure), PySpark/Spark, NoSQL, Python.","Cloud (AWS/GCP/Azure), PySpark/Spark, NoSQL, Python"
JOB-0087,BI Developer,Asia-Pacific,Lead,"Seeking Lead BI Developer proficient in SQL, Data Modeling, Python, Excel, Tableau/PowerBI.","SQL, Data Modeling, Python, Excel, Tableau/PowerBI"
JOB-0088,BI Developer,Asia-Pacific,Mid-Level,"Seeking Mid-Level BI Developer proficient in Excel, Data Modeling, Tableau/PowerBI, SQL.","Excel, Data Modeling, Tableau/PowerBI, SQL"
JOB-0089,Data Engineer,North America,Lead,"Seeking Lead Data Engineer proficient in ETL Pipelines, SQL, NoSQL, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure).","ETL Pipelines, SQL, NoSQL, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure)"
JOB-0090,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in SQL, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, PySpark/Spark.","SQL, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, PySpark/Spark"
JOB-0091,Data Engineer,North America,Mid-Level,"Seeking Mid-Level Data Engineer proficient in Cloud (AWS/GCP/Azure), PySpark/Spark, ETL Pipelines, NoSQL, Python, Docker/Kubernetes, SQL.","Cloud (AWS/GCP/Azure), PySpark/Spark, ETL Pipelines, NoSQL, Python, Docker/Kubernetes, SQL"
JOB-0092,BI Developer,Europe,Senior,"Seeking Senior BI Developer proficient in SQL, Data Modeling, Tableau/PowerBI, ETL Pipelines.","SQL, Data Modeling, Tableau/PowerBI, ETL Pipelines"
