posting_id,job_title,region,seniority_level,required_skills_text,ground_truth_skills
JOB-0001,Cloud Solution Architect,Asia-Pacific,Senior,"Seeking Senior Cloud Solution Architect proficient in Python, Cloud (AWS/GCP/Azure), Go, Git/CI-CD.","Python, Cloud (AWS/GCP/Azure), Go, Git/CI-CD"
JOB-0002,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in SQL, Python, NoSQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines.","SQL, Python, NoSQL, PySpark/Spark, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines"
JOB-0006,BI Developer,Asia-Pacific,Junior,"Seeking Junior BI Developer proficient in SQL, Python, Data Modeling, ETL Pipelines, Tableau/PowerBI.","SQL, Python, Data Modeling, ETL Pipelines, Tableau/PowerBI"
JOB-0011,AI Research Scientist,Asia-Pacific,Junior,"Seeking Junior AI Research Scientist proficient in PyTorch, Deep Learning, TensorFlow, LLMs/NLP.","PyTorch, Deep Learning, TensorFlow, LLMs/NLP"
JOB-0013,Machine Learning Engineer,Asia-Pacific,Junior,"Seeking Junior Machine Learning Engineer proficient in Deep Learning, Git/CI-CD, Docker/Kubernetes, MLOps, Python, PyTorch, Cloud (AWS/GCP/Azure).","Deep Learning, Git/CI-CD, Docker/Kubernetes, MLOps, Python, PyTorch, Cloud (AWS/GCP/Azure)"
JOB-0015,BI Developer,Asia-Pacific,Junior,"Seeking Junior BI Developer proficient in Tableau/PowerBI, ETL Pipelines, Excel, SQL, Data Modeling.","Tableau/PowerBI, ETL Pipelines, Excel, SQL, Data Modeling"
JOB-0029,Data Scientist,Asia-Pacific,Lead,"Seeking Lead Data Scientist proficient in Tableau/PowerBI, SQL, Machine Learning, Scikit-Learn, Data Modeling, R, Python.","Tableau/PowerBI, SQL, Machine Learning, Scikit-Learn, Data Modeling, R, Python"
JOB-0030,AI Research Scientist,Asia-Pacific,Senior,"Seeking Senior AI Research Scientist proficient in Deep Learning, PyTorch, LLMs/NLP, TensorFlow, Mathematics, Python.","Deep Learning, PyTorch, LLMs/NLP, TensorFlow, Mathematics, Python"
JOB-0031,Data Engineer,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Engineer proficient in Docker/Kubernetes, Cloud (AWS/GCP/Azure), PySpark/Spark, Python, ETL Pipelines, NoSQL, SQL.","Docker/Kubernetes, Cloud (AWS/GCP/Azure), PySpark/Spark, Python, ETL Pipelines, NoSQL, SQL"
JOB-0038,AI Research Scientist,Asia-Pacific,Lead,"Seeking Lead AI Research Scientist proficient in TensorFlow, LLMs/NLP, PyTorch, Python.","TensorFlow, LLMs/NLP, PyTorch, Python"
JOB-0039,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in Docker/Kubernetes, PySpark/Spark, ETL Pipelines, NoSQL, SQL, Python.","Docker/Kubernetes, PySpark/Spark, ETL Pipelines, NoSQL, SQL, Python"
JOB-0047,Cloud Solution Architect,Asia-Pacific,Lead,"Seeking Lead Cloud Solution Architect proficient in Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Linux, Go.","Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), Linux, Go"
JOB-0051,Machine Learning Engineer,Asia-Pacific,Senior,"Seeking Senior Machine Learning Engineer proficient in Python, PyTorch, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Deep Learning, Git/CI-CD, MLOps.","Python, PyTorch, Cloud (AWS/GCP/Azure), Docker/Kubernetes, Deep Learning, Git/CI-CD, MLOps"
JOB-0053,BI Developer,Asia-Pacific,Lead,"Seeking Lead BI Developer proficient in Python, Data Modeling, SQL, Excel.","Python, Data Modeling, SQL, Excel"
JOB-0061,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in ETL Pipelines, Docker/Kubernetes, PySpark/Spark, NoSQL.","ETL Pipelines, Docker/Kubernetes, PySpark/Spark, NoSQL"
JOB-0070,Data Scientist,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Scientist proficient in R, Machine Learning, Python, Scikit-Learn.","R, Machine Learning, Python, Scikit-Learn"
JOB-0071,BI Developer,Asia-Pacific,Senior,"Seeking Senior BI Developer proficient in Python, Data Modeling, Tableau/PowerBI, ETL Pipelines, Excel, SQL.","Python, Data Modeling, Tableau/PowerBI, ETL Pipelines, Excel, SQL"
JOB-0076,BI Developer,Asia-Pacific,Lead,"Seeking Lead BI Developer proficient in Python, Tableau/PowerBI, SQL, Excel.","Python, Tableau/PowerBI, SQL, Excel"
JOB-0082,Data Scientist,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Scientist proficient in SQL, Scikit-Learn, Machine Learning, R, Python, Data Modeling.","SQL, Scikit-Learn, Machine Learning, R, Python, Data Modeling"
JOB-0085,AI Research Scientist,Asia-Pacific,Junior,"Seeking Junior AI Research Scientist proficient in LLMs/NLP, TensorFlow, PyTorch, Python, Mathematics, Deep Learning.","LLMs/NLP, TensorFlow, PyTorch, Python, Mathematics, Deep Learning"
JOB-0087,BI Developer,Asia-Pacific,Lead,"Seeking Lead BI Developer proficient in SQL, Data Modeling, Python, Excel, Tableau/PowerBI.","SQL, Data Modeling, Python, Excel, Tableau/PowerBI"
JOB-0088,BI Developer,Asia-Pacific,Mid-Level,"Seeking Mid-Level BI Developer proficient in Excel, Data Modeling, Tableau/PowerBI, SQL.","Excel, Data Modeling, Tableau/PowerBI, SQL"
JOB-0090,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in SQL, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, PySpark/Spark.","SQL, ETL Pipelines, NoSQL, Cloud (AWS/GCP/Azure), Python, Docker/Kubernetes, PySpark/Spark"
JOB-0097,Data Scientist,Asia-Pacific,Junior,"Seeking Junior Data Scientist proficient in Machine Learning, Scikit-Learn, Data Modeling, Python, SQL.","Machine Learning, Scikit-Learn, Data Modeling, Python, SQL"
JOB-0106,Cloud Solution Architect,Asia-Pacific,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Docker/Kubernetes, Linux, Go, Git/CI-CD, Cloud (AWS/GCP/Azure).","Docker/Kubernetes, Linux, Go, Git/CI-CD, Cloud (AWS/GCP/Azure)"
JOB-0107,AI Research Scientist,Asia-Pacific,Senior,"Seeking Senior AI Research Scientist proficient in Python, Mathematics, TensorFlow, Deep Learning, LLMs/NLP.","Python, Mathematics, TensorFlow, Deep Learning, LLMs/NLP"
JOB-0108,BI Developer,Asia-Pacific,Mid-Level,"Seeking Mid-Level BI Developer proficient in ETL Pipelines, Excel, Python, Tableau/PowerBI, SQL.","ETL Pipelines, Excel, Python, Tableau/PowerBI, SQL"
JOB-0112,Data Scientist,Asia-Pacific,Junior,"Seeking Junior Data Scientist proficient in Data Modeling, Machine Learning, Tableau/PowerBI, SQL, Python, Scikit-Learn, R.","Data Modeling, Machine Learning, Tableau/PowerBI, SQL, Python, Scikit-Learn, R"
JOB-0116,BI Developer,Asia-Pacific,Junior,"Seeking Junior BI Developer proficient in SQL, Excel, ETL Pipelines, Tableau/PowerBI.","SQL, Excel, ETL Pipelines, Tableau/PowerBI"
JOB-0129,Data Scientist,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Scientist proficient in R, Machine Learning, Tableau/PowerBI, Scikit-Learn, SQL, Data Modeling.","R, Machine Learning, Tableau/PowerBI, Scikit-Learn, SQL, Data Modeling"
JOB-0134,Machine Learning Engineer,Asia-Pacific,Junior,"Seeking Junior Machine Learning Engineer proficient in Git/CI-CD, PyTorch, Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), MLOps, Deep Learning.","Git/CI-CD, PyTorch, Python, Docker/Kubernetes, Cloud (AWS/GCP/Azure), MLOps, Deep Learning"
JOB-0143,AI Research Scientist,Asia-Pacific,Junior,"Seeking Junior AI Research Scientist proficient in LLMs/NLP, Mathematics, Deep Learning, TensorFlow, Python.","LLMs/NLP, Mathematics, Deep Learning, TensorFlow, Python"
JOB-0154,Data Engineer,Asia-Pacific,Senior,"Seeking Senior Data Engineer proficient in ETL Pipelines, PySpark/Spark, SQL, NoSQL, Cloud (AWS/GCP/Azure), Python.","ETL Pipelines, PySpark/Spark, SQL, NoSQL, Cloud (AWS/GCP/Azure), Python"
JOB-0159,Data Engineer,Asia-Pacific,Junior,"Seeking Junior Data Engineer proficient in Cloud (AWS/GCP/Azure), NoSQL, Python, ETL Pipelines.","Cloud (AWS/GCP/Azure), NoSQL, Python, ETL Pipelines"
JOB-0161,Data Engineer,Asia-Pacific,Junior,"Seeking Junior Data Engineer proficient in NoSQL, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines, SQL.","NoSQL, Cloud (AWS/GCP/Azure), Docker/Kubernetes, ETL Pipelines, SQL"
JOB-0162,BI Developer,Asia-Pacific,Mid-Level,"Seeking Mid-Level BI Developer proficient in ETL Pipelines, Python, Tableau/PowerBI, Data Modeling, SQL, Excel.","ETL Pipelines, Python, Tableau/PowerBI, Data Modeling, SQL, Excel"
JOB-0167,Data Engineer,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Engineer proficient in NoSQL, SQL, ETL Pipelines, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure).","NoSQL, SQL, ETL Pipelines, PySpark/Spark, Docker/Kubernetes, Cloud (AWS/GCP/Azure)"
JOB-0169,Cloud Solution Architect,Asia-Pacific,Mid-Level,"Seeking Mid-Level Cloud Solution Architect proficient in Git/CI-CD, Docker/Kubernetes, Linux, Python, Go.","Git/CI-CD, Docker/Kubernetes, Linux, Python, Go"
JOB-0179,Data Scientist,Asia-Pacific,Junior,"Seeking Junior Data Scientist proficient in Data Modeling, Scikit-Learn, R, Machine Learning, SQL, Tableau/PowerBI.","Data Modeling, Scikit-Learn, R, Machine Learning, SQL, Tableau/PowerBI"
JOB-0185,AI Research Scientist,Asia-Pacific,Senior,"Seeking Senior AI Research Scientist proficient in Deep Learning, Python, TensorFlow, LLMs/NLP, Mathematics, PyTorch.","Deep Learning, Python, TensorFlow, LLMs/NLP, Mathematics, PyTorch"
JOB-0186,BI Developer,Asia-Pacific,Mid-Level,"Seeking Mid-Level BI Developer proficient in ETL Pipelines, Tableau/PowerBI, Data Modeling, SQL, Excel.","ETL Pipelines, Tableau/PowerBI, Data Modeling, SQL, Excel"
JOB-0191,Data Scientist,Asia-Pacific,Senior,"Seeking Senior Data Scientist proficient in Machine Learning, R, Python, Tableau/PowerBI.","Machine Learning, R, Python, Tableau/PowerBI"
JOB-0195,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in PySpark/Spark, Python, SQL, ETL Pipelines, Docker/Kubernetes, Cloud (AWS/GCP/Azure), NoSQL.","PySpark/Spark, Python, SQL, ETL Pipelines, Docker/Kubernetes, Cloud (AWS/GCP/Azure), NoSQL"
JOB-0199,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in Python, Docker/Kubernetes, PySpark/Spark, SQL, NoSQL, Cloud (AWS/GCP/Azure).","Python, Docker/Kubernetes, PySpark/Spark, SQL, NoSQL, Cloud (AWS/GCP/Azure)"
JOB-0207,Data Scientist,Asia-Pacific,Mid-Level,"Seeking Mid-Level Data Scientist proficient in Python, Scikit-Learn, SQL, Tableau/PowerBI, Machine Learning.","Python, Scikit-Learn, SQL, Tableau/PowerBI, Machine Learning"
JOB-0208,Machine Learning Engineer,Asia-Pacific,Junior,"Seeking Junior Machine Learning Engineer proficient in Cloud (AWS/GCP/Azure), MLOps, Git/CI-CD, PyTorch, Python, Deep Learning.","Cloud (AWS/GCP/Azure), MLOps, Git/CI-CD, PyTorch, Python, Deep Learning"
JOB-0210,Data Engineer,Asia-Pacific,Lead,"Seeking Lead Data Engineer proficient in Cloud (AWS/GCP/Azure), SQL, NoSQL, ETL Pipelines, Python.","Cloud (AWS/GCP/Azure), SQL, NoSQL, ETL Pipelines, Python"
JOB-0215,Machine Learning Engineer,Asia-Pacific,Junior,"Seeking Junior Machine Learning Engineer proficient in Docker/Kubernetes, Deep Learning, Python, Cloud (AWS/GCP/Azure), MLOps.","Docker/Kubernetes, Deep Learning, Python, Cloud (AWS/GCP/Azure), MLOps"
JOB-0220,AI Research Scientist,Asia-Pacific,Junior,"Seeking Junior AI Research Scientist proficient in Deep Learning, PyTorch, TensorFlow, Python.","Deep Learning, PyTorch, TensorFlow, Python"
JOB-0226,Data Scientist,Asia-Pacific,Junior,"Seeking Junior Data Scientist proficient in Data Modeling, SQL, Machine Learning, Python, R, Scikit-Learn.","Data Modeling, SQL, Machine Learning, Python, R, Scikit-Learn"
JOB-0243,AI Research Scientist,Asia-Pacific,Senior,"Seeking Senior AI Research Scientist proficient in Mathematics, PyTorch, Python, TensorFlow, LLMs/NLP, Deep Learning.","Mathematics, PyTorch, Python, TensorFlow, LLMs/NLP, Deep Learning"
